Date,Open,High,Low,Close,Adj Close,Volume
"Nov 5, 2025",268.59,269.59,266.93,268.98,268.98,9840311
"Nov 4, 2025",268.33,271.49,267.62,270.04,270.04,49167900
"Nov 3, 2025",270.42,270.85,266.25,269.05,269.05,50194600
"Oct 31, 2025",276.99,277.32,269.16,270.37,270.37,86167100
"Oct 30, 2025",271.99,274.14,268.48,271.4,271.4,69886500
"Oct 29, 2025",269.28,271.41,267.11,269.7,269.7,51086700
"Oct 28, 2025",268.99,269.89,268.15,269,269,41534800
"Oct 27, 2025",264.88,269.12,264.65,268.81,268.81,44888200
"Oct 24, 2025",261.19,264.13,259.18,262.82,262.82,38253700
"Oct 23, 2025",259.94,260.62,258.01,259.58,259.58,32754900
"Oct 22, 2025",262.65,262.85,255.43,258.45,258.45,45015300
"Oct 21, 2025",261.88,265.29,261.83,262.77,262.77,46695900
"Oct 20, 2025",255.89,264.38,255.63,262.24,262.24,90483000
"Oct 17, 2025",248.02,253.38,247.27,252.29,252.29,49147000
